municipio,year,week,cases
saquarema,2010,9,2
seropedica,2010,9,8
silva jardim,2010,9,2
sumidouro,2010,9,0
tangua,2010,9,186
teresopolis,2010,9,0
trajano de moraes,2010,9,0
tres rios,2010,9,0
valenca,2010,9,5
varre-sai,2010,9,0
vassouras,2010,9,3
volta redonda,2010,9,5
angra dos reis,2010,10,35
aperibe,2010,10,0
araruama,2010,10,6
areal,2010,10,0
armacao dos buzios,2010,10,0
arraial do cabo,2010,10,2
barra do pirai,2010,10,0
barra mansa,2010,10,1
belford roxo,2010,10,6
bom jardim,2010,10,0
bom jesus do itabapoana,2010,10,0
cabo frio,2010,10,6
cachoeiras de macacu,2010,10,15
cambuci,2010,10,0
carapebus,2010,10,0
comendador levy gasparian,2010,10,0
campos dos goytacazes,2010,10,65
cantagalo,2010,10,0
cardoso moreira,2010,10,0
carmo,2010,10,0
casimiro de abreu,2010,10,15
conceicao de macabu,2010,10,0
cordeiro,2010,10,0
duas barras,2010,10,0
duque de caxias,2010,10,19
engenheiro paulo de frontin,2010,10,0
guapimirim,2010,10,0
iguaba grande,2010,10,2
itaborai,2010,10,67
itaguai,2010,10,16
italva,2010,10,1
itaocara,2010,10,0
itaperuna,2010,10,19
itatiaia,2010,10,0
japeri,2010,10,0
laje do muriae,2010,10,0
macae,2010,10,63
macuco,2010,10,0
mage,2010,10,12
mangaratiba,2010,10,4
marica,2010,10,0
mendes,2010,10,0
mesquita,2010,10,2
miguel pereira,2010,10,0
miracema,2010,10,0
natividade,2010,10,11
nilopolis,2010,10,1
niteroi,2010,10,25
nova friburgo,2010,10,0
nova iguacu,2010,10,10
paracambi,2010,10,0
paraiba do sul,2010,10,0
paraty,2010,10,16
paty do alferes,2010,10,0
petropolis,2010,10,4
pinheiral,2010,10,0
pirai,2010,10,0
porciuncula,2010,10,11
porto real,2010,10,0
quatis,2010,10,0
queimados,2010,10,4
quissama,2010,10,0
resende,2010,10,5
rio bonito,2010,10,13
rio claro,2010,10,0
rio das flores,2010,10,0
rio das ostras,2010,10,0
rio de janeiro,2010,10,74
santa maria madalena,2010,10,0
santo antonio de padua,2010,10,2
sao francisco de itabapoana,2010,10,0
sao fidelis,2010,10,8
sao goncalo,2010,10,36
sao joao da barra,2010,10,0
sao joao de meriti,2010,10,10
sao jose de uba,2010,10,0
sao jose do vale do rio preto,2010,10,6
sao pedro da aldeia,2010,10,1
sao sebastiao do alto,2010,10,0
sapucaia,2010,10,0
saquarema,2010,10,1
seropedica,2010,10,2
silva jardim,2010,10,0
sumidouro,2010,10,0
tangua,2010,10,177
teresopolis,2010,10,0
trajano de moraes,2010,10,0
tres rios,2010,10,2
valenca,2010,10,6
varre-sai,2010,10,0
vassouras,2010,10,13
volta redonda,2010,10,3
angra dos reis,2010,11,64
aperibe,2010,11,0
araruama,2010,11,14
areal,2010,11,0
armacao dos buzios,2010,11,0
arraial do cabo,2010,11,1
barra do pirai,2010,11,1
barra mansa,2010,11,2
belford roxo,2010,11,14
bom jardim,2010,11,0
bom jesus do itabapoana,2010,11,0
cabo frio,2010,11,10
cachoeiras de macacu,2010,11,20
cambuci,2010,11,5
carapebus,2010,11,0
comendador levy gasparian,2010,11,1
campos dos goytacazes,2010,11,71
cantagalo,2010,11,1
cardoso moreira,2010,11,0
carmo,2010,11,2
casimiro de abreu,2010,11,19
conceicao de macabu,2010,11,0
cordeiro,2010,11,0
duas barras,2010,11,0
duque de caxias,2010,11,25
engenheiro paulo de frontin,2010,11,0
guapimirim,2010,11,0
iguaba grande,2010,11,0
itaborai,2010,11,87
itaguai,2010,11,21
italva,2010,11,0
itaocara,2010,11,3
itaperuna,2010,11,17
itatiaia,2010,11,0
japeri,2010,11,1
laje do muriae,2010,11,0
macae,2010,11,48
macuco,2010,11,0
mage,2010,11,6
mangaratiba,2010,11,3
marica,2010,11,1
mendes,2010,11,0
mesquita,2010,11,1
miguel pereira,2010,11,0
miracema,2010,11,0
natividade,2010,11,20
nilopolis,2010,11,0
niteroi,2010,11,52
nova friburgo,2010,11,5
nova iguacu,2010,11,15
paracambi,2010,11,1
paraiba do sul,2010,11,0
paraty,2010,11,1
paty do alferes,2010,11,0
petropolis,2010,11,5
pinheiral,2010,11,0
pirai,2010,11,0
porciuncula,2010,11,10
porto real,2010,11,0
quatis,2010,11,1
queimados,2010,11,4
quissama,2010,11,0
resende,2010,11,3
rio bonito,2010,11,19
rio claro,2010,11,0
rio das flores,2010,11,0
rio das ostras,2010,11,5
rio de janeiro,2010,11,66
santa maria madalena,2010,11,0
santo antonio de padua,2010,11,1
sao francisco de itabapoana,2010,11,1
sao fidelis,2010,11,27
sao goncalo,2010,11,68
sao joao da barra,2010,11,0
sao joao de meriti,2010,11,4
sao jose de uba,2010,11,0
sao jose do vale do rio preto,2010,11,12
sao pedro da aldeia,2010,11,2
sao sebastiao do alto,2010,11,0
sapucaia,2010,11,0
saquarema,2010,11,0
seropedica,2010,11,5
silva jardim,2010,11,1
sumidouro,2010,11,0
tangua,2010,11,130
teresopolis,2010,11,1
trajano de moraes,2010,11,0
tres rios,2010,11,1
valenca,2010,11,10
varre-sai,2010,11,0
vassouras,2010,11,21
volta redonda,2010,11,6
angra dos reis,2010,12,61
aperibe,2010,12,1
araruama,2010,12,31
areal,2010,12,0
armacao dos buzios,2010,12,1
arraial do cabo,2010,12,1
barra do pirai,2010,12,1
barra mansa,2010,12,7
belford roxo,2010,12,10
bom jardim,2010,12,0
bom jesus do itabapoana,2010,12,1
cabo frio,2010,12,8
cachoeiras de macacu,2010,12,23
cambuci,2010,12,2
carapebus,2010,12,0
comendador levy gasparian,2010,12,0
campos dos goytacazes,2010,12,58
cantagalo,2010,12,0
cardoso moreira,2010,12,2
carmo,2010,12,1
casimiro de abreu,2010,12,11
conceicao de macabu,2010,12,2
cordeiro,2010,12,4
duas barras,2010,12,0
duque de caxias,2010,12,25
engenheiro paulo de frontin,2010,12,0
guapimirim,2010,12,0
iguaba grande,2010,12,0
itaborai,2010,12,109
itaguai,2010,12,22
italva,2010,12,1
itaocara,2010,12,0
itaperuna,2010,12,39
